User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10),Risk_Score,Risk_Tier
U001,44,Male,3.1,7,6,2,5,Facebook,10,2.46,Low
U002,30,Other,5.1,7,8,5,3,LinkedIn,10,3.45,Low
U003,23,Other,7.4,6,7,1,3,YouTube,6,4.75,Moderate
U004,36,Female,5.7,7,8,1,1,Facebook,8,4.37,Moderate
U005,34,Female,7.0,4,7,5,1,X,8,4.69,Moderate
U006,38,Male,6.6,5,7,4,3,LinkedIn,8,4.27,Moderate
U007,26,Female,7.8,4,8,2,0,Netflix,7,5.61,Moderate
U008,26,Female,7.4,5,6,1,4,Instagram,7,4.35,Moderate
U009,39,Male,4.7,7,7,6,1,YouTube,9,3.41,Low
U010,39,Female,6.6,6,8,0,2,Facebook,7,4.9,Moderate
U011,18,Female,2.8,7,6,2,0,Instagram,7,3.51,Moderate
U012,37,Other,5.4,5,7,3,2,Instagram,9,4.03,Moderate
U013,17,Female,7.0,7,10,7,1,YouTube,8,4.88,Moderate
U014,39,Female,5.7,5,7,4,0,Facebook,8,4.42,Moderate
U015,45,Male,6.3,7,7,4,3,X,9,3.58,Moderate
U016,17,Female,5.1,7,6,2,5,LinkedIn,10,2.78,Low
U017,36,Female,7.5,5,8,4,4,Facebook,7,4.83,Moderate
U018,48,Male,5.4,6,4,3,4,Facebook,10,2.45,Low
U019,27,Male,4.7,6,6,0,2,Instagram,9,3.55,Moderate
U020,37,Male,7.1,6,6,5,4,Netflix,10,3.25,Low
U021,40,Female,3.0,8,5,5,4,X,10,1.83,Low
U022,42,Other,6.4,7,6,5,3,Telegram,10,3.02,Low
U023,43,Male,3.6,8,5,3,1,Facebook,9,2.54,Low
U024,31,Female,7.8,5,8,1,2,Instagram,7,5.25,Moderate
U025,30,Male,5.0,6,6,0,5,X,8,3.5,Low
U026,18,Other,5.7,6,7,3,2,X,8,4.06,Moderate
U027,22,Female,6.2,5,8,5,0,X,6,5.17,Moderate
U028,36,Female,2.0,8,4,5,0,Facebook,10,1.75,Low
U029,24,Male,4.3,6,6,5,2,X,10,3.0,Low
U030,33,Male,7.4,6,10,3,4,Instagram,8,5.09,Moderate
U031,19,Male,7.1,5,8,5,2,X,9,4.51,Moderate
U032,40,Male,6.0,6,7,5,4,Instagram,7,3.99,Moderate
U033,29,Female,3.1,8,4,2,2,LinkedIn,10,1.9,Low
U034,24,Female,6.6,6,7,4,0,Instagram,7,4.55,Moderate
U035,41,Other,6.8,8,7,2,2,LinkedIn,9,3.65,Moderate
U036,17,Other,5.6,6,7,4,3,Snapchat,7,4.09,Moderate
U037,35,Female,7.7,4,8,0,3,Facebook,8,5.21,Moderate
U038,43,Female,4.3,8,4,1,1,YouTube,10,2.25,Low
U039,22,Other,4.6,4,6,5,2,Facebook,9,3.69,Moderate
U040,23,Female,1.0,9,5,5,7,Facebook,10,1.09,Low
U041,29,Male,7.2,5,7,4,1,X,10,4.16,Moderate
U042,32,Male,6.1,5,6,3,3,Instagram,7,4.12,Moderate
U043,19,Male,2.5,9,3,0,0,LinkedIn,10,1.58,Low
U044,17,Other,2.3,9,3,3,4,X,10,0.98,Low
U045,21,Female,3.9,6,6,4,1,X,8,3.5,Low
U046,19,Male,6.9,5,7,2,3,Facebook,9,4.23,Moderate
U047,44,Female,5.0,4,7,2,1,Facebook,8,4.55,Moderate
U048,33,Female,4.1,8,7,6,3,LinkedIn,9,2.89,Low
U049,41,Male,3.7,8,6,3,1,YouTube,9,2.88,Low
U050,49,Male,3.6,7,5,4,1,YouTube,9,2.71,Low
U051,25,Female,2.0,9,4,5,3,X,10,1.23,Low
U052,29,Female,3.3,7,5,1,2,YouTube,10,2.53,Low
U053,46,Female,3.6,7,5,3,3,YouTube,10,2.36,Low
U054,30,Female,6.7,6,8,6,2,Amazon,7,4.57,Moderate
U055,23,Female,5.2,6,6,7,3,YouTube,8,3.33,Low
U056,29,Female,4.0,7,3,3,3,Flipkart,10,1.79,Low
U057,38,Female,9.7,3,9,3,2,Facebook,4,6.8,Elevated
U058,36,Female,4.3,7,6,4,1,X,9,3.14,Low
U059,31,Male,7.6,5,10,3,2,Instagram,6,5.94,Moderate
U060,33,Male,8.4,4,8,6,4,X,7,5.08,Moderate
U061,39,Male,2.7,9,5,1,3,Other,10,1.89,Low
U062,41,Female,5.6,6,7,2,1,Other,9,4.0,Moderate
U063,40,Female,4.6,7,7,1,3,X,10,3.28,Low
U064,44,Female,4.4,6,7,1,3,LinkedIn,9,3.67,Moderate
U065,30,Male,6.5,4,9,4,3,Other,5,5.71,Moderate
U066,16,Male,4.4,8,4,5,1,YouTube,10,2.04,Low
U067,40,Male,4.6,7,6,2,1,YouTube,10,3.1,Low
U068,22,Male,5.2,9,7,5,1,X,10,2.91,Low
U069,24,Female,4.8,6,7,5,2,Snapchat,7,4.0,Moderate
U070,39,Male,3.4,8,6,7,3,LinkedIn,10,2.2,Low
U071,16,Male,6.9,5,8,3,3,YouTube,5,5.29,Moderate
U072,23,Female,7.4,6,7,2,3,Instagram,8,4.29,Moderate
